trade_date,status,trade_count,cycle_count,total_pnl,max_profit_seen,max_loss_seen
2025-01-01,empty_chain,0,0,0.0,,
2025-01-02,ok,4,1,-1262.5,145.0000000000001,-1262.5
2025-01-03,ok,6,2,1127.4999999999998,719.9999999999999,-90.00000000000001
2025-01-06,ok,6,2,1112.5,340.0,-337.5
2025-01-07,ok,8,3,54.999999999999886,339.9999999999999,-722.5000000000001
2025-01-08,ok,6,2,-630.0,530.0,-1092.5
2025-01-09,empty_chain,0,0,0.0,,
2025-01-10,ok,4,1,525.0000000000001,950.0000000000002,-37.49999999999983
2025-01-13,ok,4,1,522.5,690.0,-2.220446049250313e-14
2025-01-14,ok,6,2,-190.0,345.0,-1192.5000000000002
2025-01-15,ok,4,1,832.5,995.0,-174.99999999999997
2025-01-16,ok,3,1,855.0,945.0,-12.5
2025-01-17,ok,8,3,1575.0000000000002,275.0,-567.4999999999998
2025-01-20,empty_chain,0,0,0.0,,
2025-01-21,ok,4,1,227.49999999999994,462.5,-47.5
2025-01-22,ok,4,1,265.0,302.5,0.0
2025-01-23,ok,6,2,577.5,405.0,-10.000000000000009
2025-01-24,ok,6,2,354.99999999999994,289.9999999999999,-195.0
2025-01-27,ok,3,1,975.0,1100.0,-39.999999999999844
2025-01-28,ok,4,1,-202.5,312.5,-229.99999999999977
2025-01-29,ok,6,2,-510.0000000000003,172.49999999999997,-977.5
2025-01-30,ok,4,1,97.49999999999997,342.5,0.0
2025-01-31,ok,4,1,-682.4999999999998,370.0000000000001,-682.4999999999998
2025-02-03,ok,4,1,-1062.5,87.49999999999999,-1062.5
2025-02-04,ok,4,1,722.5,825.0,0.0
2025-02-05,ok,4,1,-157.5,225.0,-157.5
2025-02-06,ok,6,2,0.0,457.5,-175.00000000000003
2025-02-07,ok,4,1,-667.4999999999998,259.99999999999994,-667.4999999999998
2025-02-10,ok,4,1,410.0,447.49999999999994,0.0
2025-02-11,ok,8,3,1780.0,517.5,-700.0
2025-02-12,ok,4,1,-482.50000000000017,285.0,-482.50000000000017
